A  AX
CELEBRATES  S EH L IX B R EY T S
CELLOPHANE  S EH L AX F EY N
CELLS  S EH L Z
CEMENT  S IH M EH N T
CENSORSHIP  S EH N S AXR SH IH P
CENSUS  S EH N S IX S
CENT  S EH N T
CENTERED  S EH N T AXR D
CENTERING  S EH N T AXR IX NG
CENTRAL  S EH N T R EL
CENTRE  S EH N T AXR
CENTRIFUGE  S EH N T R AX F Y UW JH
CENTS  S EH N T S
CENTURIES  S EH N CH AXR IY Z
CENTURY  S EH N CH AXR IY
CERAMIC  S AXR AE M IH K
CEREAL  S IH R IY EL
CEREBRAL  S ER IY B R AX L
CERTAIN  S ER T EN
CERTAINLY  S ER T EN L IY
CHABLIS  SH AE B L IY
CHAIN  CH EY N
CHAIR  CH AE R
CHAIRS  CH AE R Z
CHALLENGE  CH AE L IX N JH
CHALLENGED  CH AE L IX N JH D
CHAMBER  CH EY M B AXR
CHANCE  CH AE N S
CHANGE  CH EY N JH
CHANGED  CH EY N JH D
CHANGES  CH EY N JH IX Z
CHANGING  CH EY N JH IX NG
CHAOS  K EY AA S
CHARACTER  K AE R AX K T AXR
CHARACTERISTICS  K AE R AX K T AXR IH S T IH K S
CHARACTERS  K AE R AX K T AXR Z
CHARGE  CH AA R JH
CHARGED  CH AA R JH D
CHARLIE'S  CH AA R L IY Z
CHARM  CH AA R M
CHARMER  CH AA R M AXR
CHART  CH AA R T
CHASES  CH EY S IX Z
CHASING  CH EY S IX NG
CHASTITY  CH AE S T IX T IY
CHATTERING  CH AE T AXR IX NG
CHAUFFEUR  SH OW F AXR
CHAUFFEUR-DRIVEN  SH OW F AXR D R IH V EN
CHAW  CH AO
CHEAP  CH IY P
CHEATING  CH IY T IX NG
CHECK  CH EH K
CHECKED  CH EH K T
CHEEK  CH IY K
CHEESE  CH IY Z
CHEETAL  CH IY T EL
CHEMICAL  K EH M IH K EL
CHEMICALS  K EH M IH K EL Z
CHEST  CH EH S T
CHESTNUTS  CH EH S N AH T S
CHESTS  CH EH S T S
CHEW  CH UW
CHICKEN  CH IH K IH N
CHIEF  CH IY F
CHIEFLY  CH IY F L IY
CHILD  CH AY L D
CHILDHOOD  CH AY L D HH UH D
CHILDREN  CH IH L D R AX N
CHILLED  CH IH L D
CHILLS  CH IH L Z
CHIP  CH IH P
CHIPPER  CH IH P AXR
CHIVES  CH AY V Z
CHLORIDE  K L AO R AY D
CHLORINE  K L AO R IY N
CHOCOLATE  CH AO K L IX T
CHOICES  CH OY S IX Z
CHOIR  K W AY AXR
CHOKE  CH OW K
CHOOSE  CH UW Z
CHOOSING  CH UW Z IX NG
CHOP  CH AA P
CHOPPED  CH AA P T
CHOREOGRAPHER  K AO R IY AA G R AX F AXR
CHORTLED  CH AO R T EL D
CHORUSED  K AO R IX S T
CHOSE  CH OW Z
CHOSEN  CH OW Z EN
CHROME  K R OW M
CHRONICLERS  K R AA N IH K L AXR Z
CHRONOLOGICAL  K R AA N AX L AA JH IH K EL
CHRONOLOGICALLY  K R AA N AX L AA JH IH K AX L IY
CHUCK  CH AH K
CHUCKLED  CH AH K EL D
CHURCH  CH ER CH
CIGAR  S IH G AA R
CIGARETTE  S IH G AXR EH T
CIGARETTES  S IH G AXR EH T S
CINCH  S IH N CH
CINEMATIC  S IH N AX M AE T IH K
CIRCLE  S ER K EL
CIRCLED  S ER K EL D
CIRCUMSTANCES  S ER K AX M S T AE N S IX Z
CITIZEN  S IH T IX Z IX N
CITIZENSHIP  S IH T IX Z IX N SH IH P
CITY  S IH T IY
CIVIL  S IH V EL
CIVILIAN  S AX V IH L Y AX N
CIVILIZATION  S IH V EL AX Z EY SH IX N
CIVILIZED  S IH V EL AY Z D
CLAIMED  K L EY M D
CLAMP  K L AE M P
CLAMS  K L AE M Z
CLAMSHELL  K L AE M SH EH L
CLAPPING  K L AE P IX NG
CLARIFICATION  K L AE R AX F AX K EY SH IX N
CLARIFIED  K L AE R AX F AY D
CLARIFY  K L AE R AX F AY
CLASHED  K L AE SH T
CLASP  K L AE S P
CLASPED  K L AE S P T
CLASS  K L AE S
CLASS-BIASED  K L AE S B AY IX S T
CLASSICAL  K L AE S IH K EL
CLASSROOMS  K L AE S R UW M Z
CLATTER  K L AE T AXR
CLAUSE  K L AO Z
CLAY  K L EY
CLEAN  K L IY N
CLEANED  K L IY N D
CLEANERS  AO L IY N AXR Z
CLEANING  K L IY N IX NG
CLEANS  K L IY N Z
CLEAR  K L IH R
CLEARED  K L IH R D
CLEARER  K L IH R AXR
CLEARING  K L IH R IX NG
CLEARLY  K L IH R L IY
CLERK'S  K L ER K S
CLERKS  K L ER K S
CLEVER  K L EH V AXR
CLIFF  K L IH F
CLIFF'S  K L IH F S
CLIMATES  K L AY M AX T S
CLIMAX  K L AY M AE K S
CLIMBED  K L AY M D
CLIMBING  K L AY M IX NG
CLINCHES  K L IH N CH IX Z
CLING  K L IH NG
CLOCKWORK  K L AA K W ER K
CLOSER  K L OW S AXR
CLOSET  K L AA Z IX T
CLOSE~ADJ  K L OW S
CLOSE~V  K L OW Z
CLOSING  K L OW Z IX NG
CLOT  K L AA T
CLOTH  K L AO TH
CLOTHES  K L OW DH Z
CLOTHESHORSE  K L OW DH Z HH AO R S
CLOTHING  K L OW DH IX NG
CLOTTED  K L AA T IX D
CLOUD  K L AW D
CLOUDBURST  K L AW D B ER S T
CLOUDS  K L AW D Z
CLOVERLEAF  AO L OW V AXR L IY F
CLUB  K L AH B
CLUMSY  K L AH M Z IY
COACH  K OW CH
COAGULATING  K OW AE G Y UH L EY T IX NG
COAL  K OW L
COAL-BLACK  K OW L B L AE K
COALITION  K OW AX L IH SH IX N
COALS  K OW L Z
COAST  K OW S T
COAT  K OW T
COAUTHORS  K OW AO TH AXR Z
COBBLER'S  K AA B L AXR Z
COCONUT  K OW K AX N AH T
COCONUTS  K OW K AX N AH T S
CODE  K OW D
CODES  K OW D Z
COEDUCATIONAL  K OW EH JH IX K EY SH IX N EL
COEXIST  K OW IH G Z IH S T
COFFEE  K AO F IY
COFFERS  K AO F AXR Z
COIL  K OY L
COIN  K OY N
COINCIDED  K OW IX N S AY D IX D
COINS  K OY N Z
COKE  K OW K
COLD  K OW L D
COLD-BLOODED  K OW L D B L AH D IX D
COLESLAW  K OW L S L AO
COLLARED  K AA L AXR D
COLLEAGUES  K AA L IY G Z
COLLECTION  K AX L EH K SH IX N
COLLECTS  K AX L EH K T S
COLLEGES  K AA L IH JH Z
COLLIE  K AA L IY
COLLUSION  K AX L UW ZH IX N
COLOR  K AH L AXR
COLORED  K AH L AXR D
COLORFUL  K AH L ER F EL
COLOSSAL  K AX L AA S EL
COLUMN  K AA L EM
COMBINE  K AX M B AY N
COMBUSTION  K AX M B AH S CH EN
COME  K AH M
COMES  K AH M Z
COMING  K AH M IX NG
COMMAND  K AX M AE N D
COMMENT  K AA M EH N T
COMMERCIAL  K AX M ER SH EL
COMMON  K AA M AX N
COMMONPLACE  K AA M AX N P L EY S
COMMUNISM  K AA M Y UW N IH Z EM
COMMUNITY  K AX M Y UW N IX T IY
COMPACT  K AA M P AE K T
COMPANIONS  K AX M P AE N Y IX N Z
COMPANY  K AH M P AX N IY
COMPANY'S  K AH M P AX N IY Z
COMPARABLE  K AA M P AXR AX B EL
COMPARE  K AX M P AE R
COMPARISON  K AX M P AE R IH S IX N
COMPENSATION  K AA M P AX N S EY SH IX N
COMPETENTLY  K AA M P AX T IX N T L IY
COMPETING  K AX M P IY T IX NG
COMPETITION  K AA M P AX T IH SH IX N
COMPETITIVE  K AX M P EH T IX T IH V
COMPETITORS  K AX M P EH T IX T AXR Z
COMPILE  K AX M P AY L
COMPLETE  K AX M P L IY T
COMPLETELY  K AX M P L IY T L IY
COMPLEX  K AX M P L EH K S
COMPLEXITY  K AX M P L EH K S IX T IY
COMPLIANCE  K AX M P L AY IX N S
COMPLICATED  K AA M P L AX K EY T IX D
COMPLICITY  K AX M P L IH S IX T IY
COMPOSE  K AX M P OW Z
COMPOSITION  K AA M P AX Z IH SH IX N
COMPOSITIONS  K AA M P AX Z IH SH IX N Z
COMPOST  K AA M P OW S T
COMPOSURE  K AX M P OW ZH AXR
COMPOUND  K AA M P AW N D
COMPOUNDED  K AA M P AW N D IX D
COMPOUNDS  K AA M P AW N D Z
COMPRESSES  K AA M P R EH S IX Z
COMPULSION  K AX M P AH L SH IX N
COMPULSORY  K AX M P AH L S ER IY
COMPUTER  K AX M P Y UW T AXR
COMPUTERS  K AX M P Y UW T AXR Z
COMRADES  K AA M R AE D Z
CONCEIVABLY  K AX N S IY V AX B L IY
CONCEIVED  K AX N S IY V D
CONCEPT  K AA N S EH P T
CONCERN  K AX N S ER N
CONCERNS  K AX N S ER N Z
CONCERT  K AA N S AXR T
CONCESSIONAIRE  K AX N S EH SH IX N AE R
CONCLUSION  K AX N K L UW ZH IX N
CONCLUSIONS  K AX N K L UW ZH IX N Z
CONCRETE  K AA N K R IY T
CONCURRENT  K AX N K ER AX N T
CONDEMNS  K AX N D EH M Z
CONDITION  K AX N D IH SH IX N
CONDITIONS  K AX N D IH SH IX N Z
CONFABULATION  K AX N F AE B Y UH L EY SH IX N
CONFERENCES  K AA N F AXR AX N S IX Z
CONFIDENCE  K AA N F IX D IX N S
CONFIDENT  K AA N F IH D IX N T
CONFIDENTIAL  K AA N F IX D EH N SH EL
CONFIGURATION  K AX N F IH G Y AXR EY SH IX N
CONFINES  K AA N F AY N Z
CONFIRM  K AX N F ER M
CONFIRMATION  K AA N F AXR M EY SH IX N
CONFORMATIONAL  K AA N F AXR M EY SH IX N EL
CONFORMISTS  K AX N F AO R M IH S T S
CONFRONTED  K AX N F R AH N T IX D
CONFUSION  K AX N F Y UW ZH IX N
CONGESTION  K AX N JH EH S CH IX N
CONGRATULATE  K AX N G R AE CH AX L EY T
CONGREGATION  K AA NG G R IH G EY SH IX N
CONJURED  K AA N JH AXR D
CONNOISSEUR  K AA N IX S ER
CONSCIENCE  K AA N SH IX N S
CONSEQUENCES  K AA N S IX K W EH N S IX Z
CONSERVATISM  K AX N S ER V AX T IH Z EM
CONSIDER  K AX N S IH D AXR
CONSIDERABLE  K AX N S IH D AXR AX B EL
CONSIDERABLY  K AX N S IH D AXR AX B L IY
CONSIDERED  K AX N S IH D AXR D
CONSIDERING  K AX N S IH D AXR IX NG
CONSISTENTLY  K AX N S IH S T IX N T L IY
CONSISTS  K AX N S IH S T S
CONSOLIDATION  K AX N S AA L AX D EY SH IX N
CONSPICUOUS  K AX N S P IH K Y UW AX S
CONSTANTLY  AO AA N S T IX N T L IY
CONSTRUCTION  K AX N S T R AH K SH IX N
CONSTRUCTIONS  K AX N S T R AH K SH IX N Z
CONSUME  K AX N S UW M
CONSUMERS  K AX N S UW M AXR Z
CONSUMING  K AX N S UW M IX NG
CONSUMPTION  K AX N S AH M P SH IX N
CONTACT  K AA N T AE K T
CONTAGIOUS  K AX N T EY JH IX S
CONTAIN  K AX N T EY N
CONTAINED  K AX N T EY N D
CONTAINER  K AX N T EY N AXR
CONTAINS  K AX N T EY N Z
CONTEMPORARY  K AX N T EH M P AXR EH R IY
CONTENTEDLY  K AX N T EH N T IX D L IY
CONTINENTAL  K AA N T EN EH N T EL
CONTINUE  K AX N T IH N Y UW
CONTINUED  K AX N T IH N Y UW D
CONTINUES  K AX N T IH N Y UW Z
CONTINUING  K AX N T IH N Y UW IX NG
CONTINUOUS  K AX N T IH N Y UW AX S
CONTINUOUSLY  K AX N T IH N Y UW AX S L IY
CONTRADICTORILY  K AA N T R AX D IH K T AO R AX L IY
CONTRARY  K AA N T R EH R IY
CONTRAST  K AA N T R AE S T
CONTRIBUTE  K AX N T R IH B Y UW T
CONTRIBUTED  K AX N T R IH B Y UW T IX D
CONTRIBUTIONS  K AA N T R AX B Y UW SH IX N Z
CONTRIBUTORY  K AX N T R IH B Y UW T AO R IY
CONTROL  K AX N T R OW L
CONTROLLED  K AX N T R OW L D
CONTROLS  K AX N T R OW L Z
CONVENIENT  K AX N V IY N Y EN T
CONVERTED  K AX N V ER T IX D
CONVEY  K AX N V EY
CONVICTION  K AX N V IH K SH IX N
CONVINCE  K AX N V IH N S
CONVINCING  K AX N V IH N S IX NG
COOK  K UH K
COOKED  K UH K T
COOKED-OVER  K UH K T OW V AXR
COOKIES  K UH K IY Z
COOKING  K UH K IX NG
COOL  K UW L
COOPERATED  K OW AA P AXR EY T IX D
COOPERATES  K OW AA P AXR EY T S
COOPERATION  K OW AA P ER EY SH IX N
COOPERATIVE  K OW AA P AXR IX T IH V
COP  K AA P
COPPER  K AA P AXR
COPRA  K OW P R AX
COPY  K AA P IY
CORDIAL  K AO R JH EL
CORDUROY  K AO R D AXR OY
CORN  K AO R N
CORNER  K AO R N AXR
CORNERED  K AO R N AXR D
CORNMEAL  K AO R N M IY L
COROLLARIES  K AO R AX L EH R IY Z
CORRECT  K AXR EH K T
CORRUGATED  K AO R AX G EY T IX D
CORSAGE  K AO R S AA ZH
CORY  K AO R IY
COSMETICS  K AA Z M EH T IH K S
COST  K AO S T
COSTLY  K AO S T L IY
COSTS  K AO S T S
COSTUME  K AA S T UW M
COSTUMES  K AA S T UW M Z
COTTAGE  K AA T IH JH
COTTON  K AA T EN
COUGH  K AO F
COULD  K UH D
COULD'VE  K UH D AX V
COULDN'T  K UH D EN T
COUNT  K AW N T
COUNTED  K AW N T IX D
COUNTIES  K AW N T IY Z
COUNTRY  K AH N T R IY
COUNTRYSIDE  AO AH N T R IY S AY D
COUNTY  K AW N T IY
COUPLES  K AH P EL Z
COURIER  K ER IY AXR
COURSE  K AO R S
COURT  K AO R T
COURTS  K AO R T S
COURTYARD  K AO R T Y AA R D
COVER  K AH V AXR
COVERAGE  K AH V AXR IX JH
COVERED  K AH V AXR D
COVERS  K AH V AXR Z
COW  K AW
COWARD  K AW AXR D
COWBOY  K AW B OY
COWBOY'S  K AW B OY Z
COWLING  K AW L IX NG
COWS  K AW Z
COY  K OY
COYOTE  K AY OW T IY
CRAB  K R AE B
CRACK  K R AE K
CRACKED  K R AE K T
CRAFT  K R AE F T
CRANBERRY  K R AE N B EH R IY
CRASH  K R AE SH
CRASHED  K R AE SH T
CRASHING  K R AE SH IX NG
CRAVE  K R EY V
CRAWLING  K R AO L IX NG
CRAYONS  K R EY AA N Z
CRAZILY  K R EY Z IX L IY
CRAZY  K R EY Z IY
CREAM  K R IY M
CREATE  K R IY EY T
CREATED  K R IY EY T IX D
CREATION  K R IY EY SH IX N
CREDIT  K R EH D IX T
CREEPING  K R IY P IX NG
CREOLE  K R IY OW L
CREPT  K R EH P T
CREST  K R EH S T
CRESTFALLEN  K R EH S T F AO L IX N
CREW  K R UW
CRIMSON  K R IH M Z IX N
CRISIS  K R AY S IX S
CRISP  K R IH S P
CRISS-  K R IH S
CRISS-CROSS  K R IH S K R AO S
CRISSCROSSED  K R IH S K R AO S T
CRITICAL  K R IH T IH K EL
CROOKED  K R UH K IX D
CROPS  K R AA P S
CROSS  K R AO S
CROSSED  K R AO S T
CROSSINGS  K R AO S IX NG Z
CROSSROADS  K R AO S R OW D Z
CROWD  K R AW D
CROWN  K R AW N
CRUCIAL  K R UW SH EL
CRUCIFIED  K R UW S AX F AY D
CRUDE  K R UW D
CRUDELY  K R UW D L IY
CRUEL  K R UW L
CRUELTY  K R UW L IY
CRUNCHED  K R AH N CH T
CRUSHED  K R AH SH T
CRUSHERS  K R AH SH AXR Z
CRY  K R AY
CRYSTALLINE  K R IH S T EL AY N
CRYSTALLIZING  K R IH S T EL AY Z IX NG
CUBIC  K Y UW B IH K
CUISINE  K W IH Z IY N
CULTIVATED  K AH L T IX V EY T IX D
CULTURAL  K AH L CH AXR AX EL
CULTURES  K AH L CH AXR Z
CUPCAKES  K AH P K EY K S
CUPS  K AH P S
CURE  K Y UH R
CURED  K Y UH R D
CURIOSITY  K Y UH R IY AA S IX T IY
CURIOUS  K Y UH R IY AX S
CURIOUSLY  K Y UH R IY IX S L IY
CURLY  K ER L IY
CURRENT  K ER AX N T
CURRY  K ER IY
CURVE  K ER V
CURVES  K ER V Z
CUSTODY  K AH S T IX D IY
CUSTOMER  K AH S T AX M AXR
CUSTOMERS  K AH S T AX M AXR Z
CUT  K AH T
CUTBACKS  K AH T B AE K S
CUTS  K AH T S
CUTTING  K AH T IX NG
CYCLICAL  S IH K L IH K EL
CYNICS  S IH N IH K S
DAD  D AE D
DAILY  D EY L IY
DAMAGE  D AE M IH JH
DAMAGED  D AE M IH JH D
DAMP  D AE M P
DANCE  D AE N S
DANCERS  D AE N S AXR Z
DANCES  D AE N S IX Z
DANGER  D EY N JH AXR
DANGEROUS  D EY N JH AXR IX S
DANGERS  D EY N JH AXR Z
DANNY  D AE N IY
DAPHNE'S  D AE F N IY Z
DARK  D AA R K
DARKNESS  D AA R K N IX S
DARNED  D AA R N D
DASH  D AE SH
DATA  D EY T AX
DATE  D EY T
DAVY  D EY V IY
DAWN  D AO N
DAY  D EY
DAYDREAMED  D EY D R IY M D
DAYS  D EY Z
DAYTIME  D EY T AY M
DEAD  D EH D
DEADLINE  D EH D L AY N
DEAL  D IY L
DEALERS  D IY L AXR Z
DEANS  D IY N Z
DEAR  D IH R
DEATH  D EH TH
DEBTS  D EH T S
DEBUT  D EY B Y UW
DECADENT  D EH K IX D IX N T
DECAYING  D AX K EY IX NG
DECAYS  D AX K EY Z
DECEITFUL  D IH S IY T F EL
DECEIVING  D IH S IY V IX NG
DECEMBER  D IH S EH M B AXR
DECIDE  D IH S AY D
DECIDED  D IH S AY D IX D
DECIDES  D IH S AY D Z
DECISIONS  D IH S IH ZH IX N Z
DECISIVE  D AX S AY S IH V
DECK  D EH K
DECKING  D EH K IX NG
DECLARED  D AX K L AE R D
DECLINING  D AX K L AY N IX NG
DECORATE  D EH K AXR EY T
DECORATED  D EH K AXR EY T IX D
DECORATIVE  D EH K AXR IX T IH V
DECORATOR  D EH K AXR EY T AXR
DECREASE  D IY K R IY S
DEDUCT  D AX D AH K T
DEDUCTIBLE  D AX D AH K T AX B EL
DEED  D IY D
DEEP  D IY P
DEEPER  D IY P AXR
DEEPLY  D IY P L IY
DEER  D IH R
DEFECTS  D IY F EH K T S
DEFEND  D AX F EH N D
DEFENDED  D AX F EH N D IX D
DEFENSE  D AX F EH N S
DEFENSIVE  D AX F EH N S IH V
DEFIANTLY  D AX F AY AX N T L IY
DEFINE  D IH F AY N
DEFINITE  D EH F AX N IX T
DEFINITELY  D EH F AX N IX T L IY
DEGREE  D AX G R IY
DEGREES  D AX G R IY Z
DELEGATED  D EH L AX G EY T IX D
DELETE  D AX L IY T
DELICATE  D EH L IH K IX T
DELICIOUS  D AX L IH SH IX S
DELIGHT  D AX L AY T
DELIGHTFUL  D AX L AY T F EL
DELINEATING  D AX L IH N IY EY T IX NG
DELIVERING  D AX L IH V AXR IX NG
DEMAND  D AX M AE N D
DEMANDED  D AX M AE N D IX D
DEMANDS  D AX M AE N D Z
DEMINERALIZATION  D AX M IH N AXR EL AY Z EY SH IX N
DEMONSTRATION  D EH M AX N S T R EY SH IX N
DENSE  D EH N S
DENSITY  D EH N S IX T IY
DENUNCIATION  D IH N AH N S IY EY SH IX N
DENY  D AX N AY
DEPARTMENTS  D AX P AA R T M AX N T S
DEPARTURE  D AX P AA R CH AXR
DEPEND  D AX P EH N D
DEPICTS  D IH P IH K T S
DEPLETION  D IH P L IY SH IX N
DEPRECIATION  D IH P R IY SH IY EY SH IX N
DEPRIVE  D IH P R AY V
DEPUTY  D EH P Y UW T IY
DERELICTION  D EH R AX L IH K SH IX N
DERIVED  D AXR AY V D
DERIVING  D AXR AY V IX NG
DESCRIBE  D IX S K R AY B
DESCRIBED  D IX S K R AY B D
DESEGREGATE  D IH S EH G R IH G EY T
DESEGREGATION  D IY S EH G R IH G EY SH IX N
DESERVES  D IX Z ER V Z
DESIGN  D IX Z AY N
DESIGNER  D IX Z AY N AXR
DESIRABLE  D IX Z AY AXR AX B EL
DESIRE  D IX Z AY AXR
DESIRES  D IX Z AY AXR Z
DESK  D EH S K
DESOLATION  D EH S AX L EY SH IX N
DESPAIR  D IX S P AE R
DESPERATELY  D EH S P AXR AX T L IY
DESPISED  D IX S P AY Z D
DESPITE  D IX S P AY T
DESSERT  D IH Z ER T
DESSERTS  D IH Z ER T S
DESTINY  D EH S T IX N IY
DESTROY  D IX S T R OY
DESTROYING  D IX S T R OY IX NG
DETAIL  D IY T EY L
DETAILED  D IY T EY L D
DETAILS  D IY T EY L Z
DETECTABLE  D IH T EH K AX B EL
DETECTIVE'S  D IH T EH K T IH V Z
DETERMINATION  D IH T ER M AX N EY SH IX N
DETERMINE  D IH T ER M AX N
DETERMINED  D IH T ER M AX N D
DETRACT  D IH T R AE K T
DEVELOP  D AX V EH L AX P
DEVELOPED  D AX V EH L AX P T
DEVELOPING  D AX V EH L AX P IX NG
DEVELOPMENT  D AX V EH L AH P M AX N T
DEVICE  D AX V AY S
DEVOUR  D AX V AW R
DEW  D UW
DIAGNOSED  D AY IH G N OW S T
DIAGNOSIS  D AY IH G N OW S IX S
DIAGONALLY  D AY AE G IX N AX L IY
DIAGRAM  D AY AX G R AE M
DIANE  D AY AE N
DIARRHOEA  D AY AXR IY AX
DICE  D AY S
DICTATORS  D IH K T EY T AXR Z
DICTIONARY  D IH K SH IX N EH R IY
DID  D IH D
DIDN'T  D IH D EN T
DIE  D AY
DIED  D AY D
DIET  D AY AX T
DIFFER  D IH F AXR
DIFFERENCE  D IH F AXR AX N S
DIFFERENCES  D IH F AXR AX N S IX Z
DIFFERENT  D IH F AXR AX N T
DIFFERENTIATE  D IH F AXR EH N SH IY EY T
DIFFERENTLY  D IH F AXR AX N T L Y
DIFFICULT  D IH F IH K AH L T
DIG  D IH G
DIGNITY  D IH G N IX T IY
DIM  D IH M
DIME  D AY M
DIMENSIONS  D AX M EH N SH IX N Z
DIMES  D AY M Z
DIMINISH  D AX M IH N IH SH
DIMINISHING  D AX M IH N IH SH IX NG
DINGO  D IH NG G OW
DINNER  D IH N AXR
DIPLOMA  D AX P L OW M AX
DIRECTION  D AXR EH K SH IX N
DIRECTIONAL  D AXR EH K SH IX N EL
DIRECTIONS  D AXR EH K SH IX N Z
DIRECTOR  D AXR EH K T AXR
DIRECTORY  D AXR EH K T AXR IY
DIRT  D ER T
DIRTY  D ER T IY
DISAPPEARED  D IH S AX P IY R D
DISAPPOINTED  D IH S AX P OY N T IX D
DISAPPROVAL  D IH S AX P R UW V EL
DISAPPROVES  D IH S AX P R UW V Z
DISASTER  D IH Z AE S T AXR
DISCARD  D IH S K AA R D
DISCIPLINE  D IH S AX P L IX N
DISCIPLINED  D IH S AX P L IX N D
DISCLAIMER  D IH S K L EY M AXR
DISCOUNT  D IH S K AW N T
DISCOURAGED  D IH S K ER IH JH D
DISCOURAGING  D IH S K ER IH JH IX NG
DISCOVERED  D IH S K AH V AXR D
DISCRETIONARY  D IH S K R EH SH IX N EH R IY
DISCUSSION  D IH S K AH SH IX N
DISCUSSIONS  D IH S K AH SH IX N Z
DISEASE  D IX Z IY Z
DISEASES  D IX Z IY Z IX Z
DISGUISE  D IX S G AY Z
DISGUSTING  D IH S G AH S T IX NG
DISH  D IH SH
DISHES  D IH SH IX Z
DISK  D IH S K
DISLIKED  D IH S L AY K T
DISLIKES  D IH S L AY K S
DISOBEYED  D IH S OW B EY D
DISPEL  D IH S P EH L
DISPENSING  D IH S P EH N S IX NG
DISPERSED  D IH S P ER S T
DISPLACEMENT  D IH S P L EY S M AX N T
DISPLAY  D IH S P L EY
DISPLAYED  D IH S P L EY D
DISPUTE  D IH S P Y UW T
DISPUTES  D IH S P Y UW T S
DISREGARDING  D IH S R IH G AA R D IX NG
DISREPAIR  D IH S R IH P AE R
DISSOLVE  D IH Z AA L V
DISTANCE  D IH S T IX N S
DISTANCES  D IH S T IX N S IX Z
DISTASTE  D IH S T EY S T
DISTINCT  D IH S T IH NG T
DISTINGUISHED  D IH S T IH NG G W IH SH T
DISTORTED  D IH S T AO R T IX D
DISTRACTED  D IH S T R AE K T IX D
DISTRESS  D IH S T R EH S
DISTRIBUTED  D IH S T R IH B Y UW T IX D
DISTRICTS  D IH S T R IH K T S
DISTURB  D IH S T ER B
DITCHES  D IH CH IX Z
DIVE  D AY V
DIVERSITY  D AX V ER S IX T IY
DIVIDED  D AX V AY D IX D
DIVINITIES  D AX V IH N IX T IY Z
DIVISION  D AX V IH ZH IX N
DIVORCE  D AX V AO R S
DIVORCED  D AX V AO R S T
DIVORCEE  D AX V AO R S EY
DO  D UW
DOCTOR  D AA K T AXR
DOCTORS  D AA K T AXR Z
DOCTRINE  D AA K T R AX N
DOCUMENTED  D AA K Y UW M EH N T IX D
DOCUMENTS  D AA K Y UW M AX N T S
DODGING  D AA JH IX NG
DOES  D AH Z
DOESN'T  D AH Z EN T
DOG  D AO G
DOGMATICALLY  D AO G M AE T IH K AX L IY
DOGS  D AO G Z
DOIN'  D UW IX N
DOING  D UW IX NG
DOLL  D AA L
DOLLAR  D AA L AXR
DOLLAR-AND-CENTS  D AA L AXR AE N D S EH N T S
DOLLARS  D AA L AXR Z
DOLLARS-AND-CENTS  D AA L AXR Z AE N D S EH N T S
DOLPHINS  D AA L F AX N Z
DOME  D OW M
DOMESTIC  D AX M EH S T IH K
DOMINANT  D AA M IH N IX N T
DOMINATED  D AA M IH N EY T IX D
DON'T  D OW N T
DONATE  D OW N EY T
DONATED  D OW N EY T IX D
DONE  D AH N
DOOR  D AO R
DOORS  D AO R Z
DOORWAYS  D AO R W EY Z
DORMITORIES  D AO R M AX T AO R IY Z
DOSES  D OW S IX Z
DOUBLE  D AH B EL
DOUBLE-GLAZE  D AH B EL G L EY Z
DOUBT  D AW T
DOUGH  D OW
DOUSED  D AW S T
DOWN  D AW N
DOWNPOUR  D AW N P AO R
DOWNSTAIRS  D AW N S T AE R Z
DOWNTOWN  D AW N T AW N
DOWNWARD  D AW N W AXR D
DOZEN  D AH Z EN
DRAIN  D R EY N
DRAMATIC  D R AX M AE T IH K
DRANK  D R AE NG K
DRASTICALLY  D R AE S T IH K L IY
DRAW  D R AO
DRAWING  D R AO IX NG
DRAWLED  D R AO L D
DRAWN  D R AO N
DREAM  D R IY M
DREAMS  D R IY M Z
DRENCHED  D R EH N CH T
DRESS  D R EH S
DRESSING  D R EH S IX NG
DRESSY  D R EH S IY
DREW  D R UW
DRIED  D R AY D
DRIFT  D R IH F T
DRIFTED  D R IH F T IX D
DRIFTING  D R IH F T IX NG
DRINK  D R IH NG K
DRINKERS  D R IH NG K AXR Z
DRIVE  D R AY V
DRIVEN  D R IH V AX N
DRIVERS  D R AY V AXR Z
DRIVING  D R AY V IX NG
DROP  D R AA P
DROPPED  D R AA P T
DROPS  D R AA P S
DROUGHT  D R AW T
DROVE  D R OW V
DRUG  D R AH G
DRUG'S  D R AH G Z
DRUGS  D R AH G Z
DRUGSTORE  D R AH G S T AO R
DRUNK  D R AH NG K
DRUNKARD  D R AH NG K ER D
DRUNKARDS  D R AH NG K ER D Z
DRUNKENNESS  D R AH NG K AX N IX S
DRY  D R AY
DRYING  D R AY IX NG
DUBIOUS  D UW B IY AX S
DUCK  D AH K
DUCKS  D AH K S
DUE  D UW
DUG  D AH G
DULL  D AH L
DUMB  D AH M
DUMPED  D AH M P T
DUPLICATE  D UW P L IH K IX T
DURING  D UH R IX NG
DUST  D AH S T
DUSTING  D AH S T IX NG
DUTCH  D AH CH
DUTY  D UW T IY
DWARF  D W AO R F
DWELL  D W EH L
DYEING  D AY IX NG
DYING  D AY IX NG
DYNAMICS  D AY N AE M IH K S
DYNASTIC  D AY N AE S T IH K
EACH  IY CH
EAGERLY  IY G AXR L IY
EAGERNESS  IY G AXR N IX S
EAR  IH R
EARLIER  ER L IY AXR
